sku,name,description,category,quantity,price,cost,barcode,supplier
Silent_listing_Unlist_property,Silent listing / Unlist property,,Property listing,1,0,0,,8 Degree
8DV106A,8DV106A - Dossier Balangan Villa - Loft,"8D2559
Discover the perfect blend of tropical elegance and modern design with these brand-new villas in Balangan, only 8 minutes from Balangan Beach and New Kuta Golf. Thoughtfully crafted with natural aesthetics and contemporary comfort, each villa provides an ideal sanctuary for personal living or a high-potential investment in Bali’s booming property market.

🏡 Villa Features
Open-concept living & dining area with natural light
Fully equipped modern kitchen
Spacious bedroom(s) with en-suite bathroom
Premium finishes & semi furnished interiors
Private pool with lush garden surroundings
Ideal for relaxation or hosting intimate gatherings

📍 Prime Location – Balangan, Uluwatu
8 min → Balangan Beach
8 min → New Kuta Golf
Easy access to cafes, restaurants & vibrant local scene

📑 Ownership & Details
Property Status: Leasehold (25 Years)
Land Size: 150 m²
Building Size: 84 m²
Price: USD 173,000 (~IDR 2.835B)
Semi Furnished

🔥 Limited Availability – Price Reduced Now!
Don’t miss your chance to own a villa in one of Bali’s most sought-after areas. Contact us today to secure your unit at the new discounted price.",Property listing,1,173000,0,,8 Degree
8DV106B,8DV106B - Dossier Balangan Villa - Cube,"Discover the perfect blend of tropical elegance and modern design with these brand-new villas in Balangan, only 8 minutes from Balangan Beach and New Kuta Golf. Thoughtfully crafted with natural aesthetics and contemporary comfort, each villa provides an ideal sanctuary for personal living or a high-potential investment in Bali’s booming property market.

🏡 Villa Features
Open-concept living & dining area with natural light
Fully equipped modern kitchen
Spacious bedroom(s) with en-suite bathroom
Premium finishes & semi furnished interiors
Private pool with lush garden surroundings
Ideal for relaxation or hosting intimate gatherings

📍 Prime Location – Balangan, Uluwatu
8 min → Balangan Beach
8 min → New Kuta Golf
Easy access to cafes, restaurants & vibrant local scene

📑 Ownership & Details
Property Status: Leasehold (25 Years)
Land Size: 250 m²
Building Size: 180 m²
Price: USD 201000 (~IDR 3.285B)
Semi Furnished

🔥 Limited Availability – Price Reduced Now!
Don’t miss your chance to own a villa in one of Bali’s most sought-after areas. Contact us today to secure your unit at the new discounted price.",Property listing,1,201000,0,,8 Degree
8DV106C,8DV106C - Dossier Balangan Villa - Adosado,"🌊 Your Modern Tropical Escape
Discover the perfect blend of tropical elegance and modern design with these brand-new villas in Balangan, only 8 minutes from Balangan Beach and New Kuta Golf. Thoughtfully crafted with natural aesthetics and contemporary comfort, each villa provides an ideal sanctuary for personal living or a high-potential investment in Bali’s booming property market.

🏡 Villa Features
Open-concept living & dining area with natural light
Fully equipped modern kitchen
Spacious bedroom(s) with en-suite bathroom
Premium finishes & semi furnished interiors
Private pool with lush garden surroundings
Ideal for relaxation or hosting intimate gatherings

📍 Prime Location – Balangan, Uluwatu
8 min → Balangan Beach
8 min → New Kuta Golf
Easy access to cafes, restaurants & vibrant local scene

📑 Ownership & Details
Property Status: Leasehold (25 Years)
Land Size: 120 m²
Building Size: 84 m²
Price: USD 152000 (~IDR 2.475B)
Semi Furnished

🔥 Limited Availability – Price Reduced Now!
Don’t miss your chance to own a villa in one of Bali’s most sought-after areas. Contact us today to secure your unit at the new discounted price.",Property listing,1,152000,0,,8 Degree
8D2544,"Contemporary 3-Bedroom Villa in Tumbak Bayuh – Tranquility, Style & Investment Appeal","Contemporary 3-Bedroom Villa in Tumbak Bayuh – Tranquility, Style & Investment Appeal

Discover a rare gem in the serene and fast-rising neighborhood of Tumbak Bayuh, just minutes from the heart of Canggu and Bali’s most popular beaches. This brand-new, fully furnished villa offers the perfect blend of modern elegance, cozy comfort, and smart design—ideal for families, lifestyle seekers, or savvy investors looking for a high-performing rental asset.

📍 Location: Tumbak Bayuh, Canggu – Bali
Views: Lush garden, tropical greenery, and peaceful residential surroundings

🏡 Villa Features:
• Land Size: 270 m²
• Building Size: 234 m² (2 floors)
• Bedrooms: 3 – Each with ensuite bathrooms featuring premium finishes
• Additional Room: Second-floor TV/media room – perfect for relaxing or family entertainment
• Living Areas: Enclosed living and dining space with glass doors for natural light and air circulation
• Kitchen: Fully equipped modern kitchen with European design and breakfast island
• Furnishings: Fully furnished with elegant, high-quality furniture
• Electricity: 10,600 watts
• Parking: Dedicated carport

🌿 Outdoor Features:
• Private Pool: 3 x 8-meter pool surrounded by a beautifully landscaped tropical garden
• Tranquil Setting: Nestled in a quiet, secure residential area with peaceful rice field surroundings
• Terrace & Garden: Ideal for outdoor relaxation, sunbathing, or alfresco dining

💰 Investment Potential:
• Leasehold: 39 years (with guaranteed 25-year extension)
• Price: IDR 6.55 Billion / Approx. USD 395,000
• Move-In Ready: Fully furnished and turnkey for immediate living or rental income
• Prime Growth Area: Tumbak Bayuh is rapidly gaining popularity among buyers and renters

🗓️ Ownership Details:
• Leasehold Until: 2063
• Extension Option: Available until 2088
• Title: Leasehold
• Status: Brand-new build – ready for occupancy or rental

✨ Why Choose This Villa?
🌴 Quiet Yet Connected – Only 10–15 minutes to Pererenan Beach, Canggu, cafes & international schools
🏠 Move-In Ready – Stylish, functional layout with premium finishes throughout
💼 High Rental Potential – Located in a sought-after and fast-appreciating area
🛁 Smart Design – Dedicated media room, elegant bathrooms, and open tropical living
📈 Strong ROI – Ideal for short- or long-term rental investment in Bali’s growing market

📞 Contact us today to schedule a private viewing and explore this unique opportunity in Bali real estate.",Property listing,1,395000,0,,8 Degree
8D2549,8D2549 - Villa Roel Berawa,"🏡 Sleek One-Level Villa in Quiet Berawa Pocket – Rare Leasehold Deal
Welcome to an exciting opportunity to own a beautifully renovated villa in one of Bali’s most desirable areas—Berawa. Just 10 minutes from the beach, top-rated international schools, and the island’s best restaurants and attractions, this modern monochrome villa combines tropical living with urban convenience. Quietly situated in a construction-free zone, it promises a peaceful and undisturbed atmosphere—a rare find in the heart of Berawa.

📍 Location: Berawa, Bali
Views: Tropical greenery and peaceful surroundings

🏡 Villa Features:
• Land Size: 473m2
• Building Size: 190m2
• Bedrooms: 3
• Bathrooms: 3
• Fully Furnished – Contemporary monochrome aesthetic
• Living Areas: Enclosed living space with seamless indoor-outdoor flow
• Kitchen: Modern and practical layout
• Water Filter System: Fresh and clean water throughout
• Laundry Room: Dedicated space with storage
• Parking: Onsite parking available

🌿 Outdoor Amenities:
• Private Pool: Inviting tropical-style pool
• Garden Space: Ideal for relaxing and entertaining

💰 Investment Potential:
• Leasehold: Long-term lease with extension available
• Price: USD 389.000
• Renovated: Turnkey and move-in ready
• Ideal for family living or rental investment in a high-demand area

🗓️ Ownership Details:
• Title: Leasehold
• Lease Duration: 26 years with extension option
• Location Demand: Berawa continues to be a top hotspot in Bali’s property market

✨ Why Choose This Villa?
🌴 Prime Berawa Location – Minutes to beach, cafes, schools & gyms
🖤 Turnkey Modern Design – Freshly renovated with chic furnishings
🤫 Peaceful Setting – Rare no-construction zone in busy Berawa
🏡 One-Level Layout – Convenient and family-friendly
📈 Great Investment – Desirable rental location with strong appreciation potential

📞 Contact us today to schedule a private viewing and receive full property details.",Property listing,1,389000,0,,8 Degree
8D2562,8D2562 - Little Spot Villa Berawa,"🏡 MODERN 2-BEDROOM INVESTMENT VILLA IN BERAWA – FOR SALE 🌿
 Located in the heart of Berawa, this stylish 2-bedroom villa offers the perfect blend of comfort, prime location, and strong investment potential. Within walking distance to top cafés, restaurants, beach clubs, gyms, and international schools, it’s an ideal property for both lifestyle buyers and savvy investors looking for high-yield rental appeal in one of Bali’s most desirable areas.
📍 Location: Berawa, Bali
 Views: Pool & Garden
🏠 Villa Features:
 • Land Size: 192 m²
 • Building Size: 115 m² (L-shaped layout – single floor)
 • 2 Bedrooms with ensuite bathrooms
 • 2 Bathrooms total
 • Enclosed Living Room with modern, open-plan layout
 • Fully Furnished – turnkey ready
 • Modern Kitchen with enclosed dining area
 • Private Swimming Pool (4 x 2 meters)
 • Separate Laundry Room
 • Open Parking (Bike / Small Car – approx. 4 x 3 m)
🌟 Amenities:
 • High-speed fiber optic internet
 • Electricity: 5,500 watts
 • Air Conditioning in all main rooms (3 units)
 • Deep well water supply
 • Bright and functional modern design
 • Terrace and small landscaped garden
 • Located in a peaceful residential pocket of central Berawa
 • IMB (PBG) on request – suitable for long-term rental use
📜 Ownership Details:
 • Leasehold: 27 Years (until March 2052)
 • Fully Furnished – Ready for Move-in
💰 Price: USD 220,000
 (Fixed Price – Excellent value in Berawa)
✨ Why Choose This Villa?
 🌴 Prime Berawa Location: Walkable to the area’s top lifestyle hotspots
 🏡 Move-In Ready: Enclosed layout, modern furnishings, private garden & pool
 📈 Strong ROI Potential: Sought-after rental area with solid returns
 🚗 Practical Design: Parking, storage, laundry, and cozy garden included
 📃 Clear Ownership: Long leasehold with legal documentation in place
📞 Contact 8 Degree Real Estate today to schedule your private viewing of this rare opportunity in central Berawa — the perfect fusion of lifestyle and investment!",Property listing,1,220000,0,,8 Degree
8D2563,8D2563 - Mottram Villa (Ungasan),"🏡 Stylish Contemporary Villa with Sauna in Tranquil Ungasan – Limited Units Available
Discover an exceptional off-plan villa designed for tropical family living in peaceful Ungasan. Located just minutes from Bali’s iconic beaches, fine dining, and wellness hubs, this modern Balinese-inspired residence blends architectural elegance with comfort and function. With only two units available, Mottram Villa offers a rare opportunity to own a thoughtfully designed home with wellness features like a private sauna and ice bath.

📍 Location: Ungasan, South Bali
Views: Tranquil residential surroundings with upstairs panoramic vistas

🏡 Villa Features:
• Land Size: 300m² (3 Are)
• Building Size: 190m²
• Bedrooms: 3
• Bathrooms: 3.5
• Fully Furnished – Contemporary tropical Balinese style
• Living Areas: Spacious enclosed living room, projector-ready
• Kitchen: Modern island kitchen with premium appliances
• Wellness Facilities: Private sauna and ice bath
• Smart Layout: High ceilings, floor-to-ceiling windows for natural light
• Parking: Dedicated space for car or scooters

🌿 Outdoor Amenities:
• Private Pool: U-shaped pool with sunken lounge and poolside bar
• Garden: Lush landscaping for a serene atmosphere
• Outdoor Guest Restroom

💰 Investment Potential:
• Leasehold: 27 years untill February 2052
• Extension: Guaranteed 15-year option at market rate
• Price: IDR 5,595,000,000
• Delivery: Completion expected November 2025
• Ideal for both family living and high-return rental investment

🗓️ Ownership Details:
• Title: Leasehold
• Construction: Starts February 2025
• Building Permit: IMB Rumah Tinggal

✨ Why Choose Mottram Villa?
🌴 Quiet Yet Strategic Location – Close to beach clubs, restaurants & gyms
🧖‍♂️ Wellness-Oriented – Includes private sauna, ice bath & pool bar
🪟 Bright & Breezy Design – Floor-to-ceiling windows and high ceilings
🏡 Family-Friendly Layout – All bedrooms ensuite with quality finishes
📈 Limited Availability – Only 2 units, high demand in Ungasan growth corridor

📞 Contact us now to reserve your unit and receive detailed floor plans and specifications.",Property listing,1,0,0,,8 Degree
8D2564,8D2564 - Pannonica Villa (Bingin),"🏡 FUTURISTIC 2-BEDROOM DESIGNER VILLA IN PECATU – FOR SALE 🌿
Discover an ultra-modern 2-bedroom villa that redefines tropical living with bold design, smart features, and premium comfort. Located in Pecatu, one of Bali’s most sought-after areas, this stylish residence is just minutes from Bingin and Padang Padang beaches, world-class resorts, and fine dining. With a long lease and high-end features—including a home cinema, vertical garden, and ambient LED lighting—this villa stands out as a rare investment opportunity.

📍 Location: Pecatu, Uluwatu – Bali
Views: Pool, Garden & Architectural Accents

🏠 Villa Features:
• Land Size: 400 m²
• Building Size: 130 m² (Single Level)
• 2 Bedrooms with ensuite bathrooms
• 2 Bathrooms total
• Enclosed Living Room with sunken lounge design
• Fully Furnished – Sleek, turnkey interiors
• Modern Open-Plan Kitchen & Dining Area
• Private Swimming Pool (8 x 4 meters / 32 m²)
• Home Cinema for immersive entertainment
• Vertical Garden – blending nature & architecture
• Open Carport

🌟 Amenities:
• LED Lighting Throughout for mood-enhancing ambiance
• Contemporary layout with high-end finishes
• Fully air-conditioned + modern appliances
• Reliable electricity & water supply
• IMB (PBG) on process – suitable for rental use
• Quiet and exclusive neighborhood in South Bali
• Just 10 minutes to beaches, 5 minutes to local markets, and 35 minutes to the airport

📜 Ownership Details:
• Leasehold: 30 Years (until January 2056)
• Year Built: 2025
• Land Title: Hak Sewa
• Fully Furnished – Ready for Move-in upon handover

💰 Price: IDR 6,000,000,000
(Fixed Price – Premium Value for Location & Design)

✨ Why Choose This Villa?
🌴 Prime Uluwatu Location: Near Bingin, Padang Padang & luxury venues
🏡 Statement Design: Sunken lounge, home cinema, vertical garden, LED mood lighting
📈 Investment Ready: Long lease, stylish concept, rental-friendly permits
🚗 Smart & Practical: Carport, entertainment areas, tranquil garden
📃 Clear Legal Standing: IMB (PBG) in process with secure leasehold title

📞 Contact 8 Degree Real Estate today to arrange a private viewing and secure this one-of-a-kind designer villa in the heart of Bali’s most exclusive lifestyle zone!",Property listing,1,0,0,,8 Degree
8D2569,8D2569 - Villa Tahlia (Pantai Lima),"🏡 MODERN TROPICAL 2-BEDROOM VILLA WITH ROOFTOP NEAR LYMA BEACH – PERERENAN, CANGGU 🌴
Step into effortless island living just 3 minutes from the sand at Lyma Beach. This stylish 2-bedroom tropical modern villa offers the perfect blend of luxury, comfort, and location in one of Bali’s most desirable emerging neighborhoods. With sunken living areas, a rooftop lounge, and open-plan flow, it's the ideal personal retreat or high-yield rental investment.

📍 Location: Pererenan, North Canggu – Bali
Views: Pool, Rooftop Lounge, Garden Outlook
📍 3 Minutes Walk to Lyma Beach – Prime Coastal Location

🏠 Villa Features:
• Land Size: 100 m² (1 are)
• Building Size: 165 m² across 2 levels
• 2 Spacious Bedrooms with Ensuite Bathrooms
• 2 Bathrooms Total + Vanity & Desk in Each Bedroom
• Fully Furnished – Move-In Ready
• Sunken Living Room with Open-Plan Layout & High Ceilings
• Modern Kitchen with Built-In Appliances
• Private Pool with Deck & Tropical Ambience
• Rooftop Lounge & Sunbathing Area – Ideal for Sunset Views
• Road Access: 3 Meters – Scooter-Friendly
• Completed in 2024

🌟 Lifestyle Amenities:
• Just 3 Minutes to Lyma Beach
• 5 Minutes to Baked, Shelter & Neighborhood Hotspots
• 10 Minutes to Crate, Secret Spot, Sensorium & Tanah Lot
• 13–15 Minutes to Berawa, Atlas & Finns Beach Club
• Quiet Pocket in a Vibrant Lifestyle Corridor
• Surrounded by Top Cafés, Yoga Studios, and Beach Clubs
• Thoughtful Design with Indoor-Outdoor Flow
• Rooftop Terrace Offers Private Entertaining & Sunset Lounge

📜 Ownership Details:
• Leasehold: 25–26 Years
• Land Title: Hak Sewa
• IMB/PBG: In Process
• Year Built: 2024
• Property Status: Completed & Ready

💰 Price:
• IDR 3.95 Billion (~USD 245,000)
• All transactions in IDR. USD shown for reference only.

✨ Why Choose This Property?
🏖️ 3 Minutes to the Beach: Prime walkable location in Pererenan
🏡 Smart Design: Sunken living, rooftop lounge, pool, and more
📈 Strong ROI Forecast: Perfect for short-term or boutique-style rental
🚗 Low-Maintenance Living: Compact land, premium layout & materials
📃 Long-Term Value: 25–26-year lease in an A-grade location with high demand

📞 Contact 8 Degree Real Estate today to schedule your private viewing of this beautiful villa — a stylish turnkey retreat in the heart of Pererenan’s most walkable beachside zone.",Property listing,1,245000,0,,8 Degree
